核对对象,实际净距或宽度_m,计算或依据,结论
相邻平流初沉池占地包络,37.0,相邻中心距100−包络宽63,通过；中间可布管和检修
相邻A2/O系列占地包络,25.0,相邻中心距100−包络宽75,通过；保持四系列独立检修面
相邻二沉池暂定结构外缘,6.2,中心距44−暂定结构外径37.8,通过；D42操作包络间另有2.0 m
初沉池与A2/O占地包络,28.0,初沉南缘216−A2/O北缘188,通过；含6 m道路和管线带
A2/O与二沉池占地包络,37.0,A2/O南缘138−二沉北缘101,通过；含配水井、风机房和6 m道路
二沉池与南侧管理/消毒区,19.0,二沉南缘59−南区北缘40,通过；含4 m次通道和绿化隔离
二沉配水井与A2/O,8.0,A2/O南缘138−配水井北缘130,通过；构造连接待详图
鼓风机房与A2/O,4.0,A2/O南缘138−风机房北缘134,课程总图通过；吊装和防火间距待专项确认
主车道,6.0,课程教案采用值,形成厂界环路和三条横向联系路
次通道,4.0,课程教案采用值,服务接触池、计量井和二沉池南侧
管理区至最近二沉池包络,19.0,垂直净距；另有道路/绿化,条件性通过；无风玫瑰，不作上风向结论
