定位编号,颜色,原稿位置,原稿完整上下文,第一版现状,Excel编号,老师意见时间码,责任组,处理结论,影响范围
W01,黄色,正文段落P6,本设计面向江苏省西南部某60万人城市污水处理厂，按人均排水量180 L/(人·d)确定平均日设计水量108000 m³/d（1.25 m³/s）。设计流量按GB 50014—2021第4.1.4条及表4.1.15取总变化系数Kz=1.50，最高时流量6750 m³/h（1.875 m³/s）；提升泵3台工作泵组合与最高时流量相同，构筑物工艺负荷与相连管渠采用同一峰值口径。处理目标按课程设计任务书所列GB 18918—2002（含2025修改单）一级B日均限值：BOD₅、SS、TN、NH₄⁺-N、TP分别为20、20、20、8、1 mg/L。,标记已清但3台工作泵文字仍残留，未完成,"10,A1",00:21-00:55;03:37-04:11;11:48-12:18,02,保留结构后改值/改正,正文、公式、表格、设备、图3-1/图5-1
W02,黄色,正文段落P87,设计流量按GB 50014—2021第4.1.4条及表4.1.15取总变化系数Kz=1.50，故最高时流量Qmax=1.50×4500=6750 m³/h=1.875 m³/s。进水井提升泵3台工作泵额定组合亦为1.875 m³/s=6750 m³/h，构筑物工艺负荷与提升后相连管渠、配水系统采用同一峰值口径。,仍有黄色标记，未完成,"10,A1",00:21-00:55;03:37-04:11;11:48-12:18,02,保留结构后改值/改正,正文、公式、表格、设备、图3-1/图5-1
W03,红色高亮,正文段落P93,表中“日均目标”取自课程设计任务书的出水水质要求，其指标口径对应GB 18918—2002《城镇污水处理厂污染物排放标准》（含2025修改单，自2026-03-01实施，标准编号不变）表1一级B日均限值；表4另列瞬时限值，一级B TN、NH₄-N、TP分别为25、15(20)、1.5 mg/L，pH 6～9，粪大肠菌群10⁴ MPN/L。浓度由当量人口负荷除以平均水量得到：BOD₅=166.67 mg/L，SS=277.78 mg/L，TN=44.44 mg/L，TP=5.56 mg/L。消毒与监测应同时识别瞬时控制，但本文日负荷主算保持任务书日均目标。,已删除/已改/已清标,1,见Excel事项与原稿标色,10,删除或改正,正文表述、目录、参考文献与终检
W04,红色字体,正文段落P95,表2-3 指标、任务书目标mg/L汇总,已删除/已改/已清标,B1,见Excel事项与原稿标色,10,改正,正文表述、目录、参考文献与终检
W05,红色字体,正文段落P101,进水BOD₅/TN约3.75（按HJ 576—2010的BOD₅/TN口径；GB 50014—2021第7.6.16条用BOD₅/TKN，因任务书未给TKN，本设计不采用该口径，也不把该筛分比值当作商品碳源投加量），若用全部BOD作为反硝化碳会高估可利用碳。工艺采用A²/O，并预留外加甲醇，以厌氧段释放磷、缺氧段反硝化、好氧段去除有机物和硝化。初沉降低悬浮物和部分BOD；为满足TP=1 mg/L的稳定容量，生物除磷后设FeCl₃强化除磷。,已删除/已改/已清标,27,03:22-06:00,03/04,改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W06,红色字体,正文段落P103,工艺比选与选择理由：A²/O在同一污泥系统内串联厌氧、缺氧、好氧区，可同时完成有机物去除、硝化和反硝化，并借厌氧释磷—好氧吸磷实现生物除磷，流程短、运行成熟、污泥产量相对低，适合本工程BOD₅/TN约3.75、需同步脱氮除磷的城市污水。其局限是进水碳源不足时反硝化受限、生物除磷受碳源和硝酸盐竞争影响：本设计以初沉池适度去除SS和部分BOD保留可生化碳、预留甲醇外加碳源、并在生物除磷后串接FeCl₃化学除磷作补充措施。若改用氧化沟或SBR，占地、设备和控制复杂度在本规模下不占优，故确定A²/O方案。回流去向见流程图：混合液内回流自好氧末端返回缺氧区，回流污泥自二沉池返回厌氧区，剩余污泥排至污泥处理边界。,已删除/已改/已清标,12,03:22-06:00,10,改正,正文表述、目录、参考文献与终检
W07,红色字体,正文段落P105,图3-1 水线工艺流程及回流、排泥接口,已删除/已改/已清标,"B1,40,C4",见Excel事项与原稿标色,09,改正,位图题注、尺寸和箭头
W08,红色高亮,正文段落P106,流程按一次提升后重力流组织：污水经粗格栅、进水井提升、细格栅、曝气沉砂池、初沉池进入A²/O生物池，再经二沉池、接触消毒与计量排出。图中污泥接口仅表示回流污泥、剩余污泥和化学固体的计算边界，浓缩、消化、脱水等独立污泥路线不在本课程设计范围。,已删除/已改/已清标,2,见Excel事项与原稿标色,10,删除或改正,正文表述、目录、参考文献与终检
W09,红色字体,正文段落P107,3.2 主要设计假设,已删除/已改/已清标,11,03:22-06:00,10,改正,正文表述、目录、参考文献与终检
W10,红色高亮,正文段落P116,全厂最高时流量6750 m³/h，由两条前处理水线并联承担，每条水线3375 m³/h=0.9375 m³/s；每条水线设1台格栅，故粗、细格栅单台设计流量均为0.9375 m³/s，每级共2台。两级均设2条水线正常运行，单条检修时另一条短时承担全部流量，另通过闸门提供隔离和超越条件。,已改或已清标，但本轮仍需技术复核,"13,A1",00:21-00:55;03:37-04:11;11:48-12:18,02,保留结构后改值/改正,正文、公式、表格、设备、图3-1/图5-1
